name;sellerID;price;stock;image;description
Pão Francês;1;0.50;200;/itens/pao_frances.jpeg;Pão crocante e fresco, ideal para o café da manhã.
Bolo de Chocolate;2;20.00;10;/itens/bolo_de_chocolate.jpeg;Bolo de chocolate com cobertura cremosa e recheio de brigadeiro.
Coxinha;3;5.00;50;/itens/coxinha.jpeg;Salgado de frango com massa crocante.
Queijo Minas Frescal;1;15.00;30;/itens/queijo_minas_frescal.jpeg;Queijo branco fresco, perfeito para lanches e café da manhã.
Suco de Laranja;1;6.00;25;/itens/suco_de_laranja.jpeg;Suco de laranja natural sem conservantes.
Croissant;1;4.50;40;/itens/croissant.jpeg;Croissant de manteiga, leve e folhado.
Brigadeiro;3;1.50;100;/itens/brigadeiro.jpeg;Doce tradicional brasileiro de chocolate.
Empada de Palmito;3;4.00;20;/itens/empada_de_palmito.jpeg;Massa crocante recheada com palmito temperado.
Presunto Fatiado;2;8.00;35;/itens/presunto_fatiado.jpeg;Presunto cozido fatiado, ideal para sanduíches.
Café Expresso;1;3.00;50;/itens/cafe_expresso.jpeg;Café expresso forte e aromático, feito na hora.
Pão de Queijo;1;2.00;80;/itens/pao_de_queijo.jpeg;Pão de queijo tradicional, macio e saboroso.
Torta de Limão;2;25.00;8;/itens/torta_de_limao.jpeg;Torta gelada com creme de limão e cobertura de merengue.
Quiche de Alho Poró;3;18.00;15;/itens/quiche_de_alho_poro.jpeg;Massa leve recheada com alho poró e queijo.
Mortadela Italiana;1;10.00;25;/itens/mortadela_italiana.jpeg;Mortadela importada, sabor suave e marcante.
Água Mineral;3;2.00;100;/itens/agua_mineral.jpeg;Água mineral sem gás, garrafa de 500ml.
Brownie;2;3.50;60;/itens/brownie.jpeg;Brownie de chocolate com pedaços de nozes.
Pastel de Carne;3;5.00;30;/itens/pastel_de_carne.jpeg;Massa crocante recheada com carne moída e temperos.
Ricota Fresca;1;12.00;20;/itens/ricota_fresca.jpeg;Ricota fresca ideal para dietas leves e receitas variadas.
Refrigerante;3;4.00;80;/itens/refrigerante.jpeg;Refrigerante de cola, lata de 350ml.
Beijinho;2;1.50;100;/itens/beijinho.jpeg;Doce de coco com leite condensado e açúcar.